=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\

Found project: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 24th.cs -> PQSQED.24th (direct deps: 5, substrings: 3)
Parsed: 25.cs -> PQSQED.25 (direct deps: 4, substrings: 1)
Parsed: 25th.cs -> PQSQED.25th (direct deps: 5, substrings: 3)
Parsed: 26.cs -> PQSQED.26 (direct deps: 4, substrings: 1)
Parsed: 26th.cs -> PQSQED.26th (direct deps: 5, substrings: 3)
Parsed: 27.cs -> PQSQED.27 (direct deps: 4, substrings: 1)
Parsed: 27th.cs -> PQSQED.27th (direct deps: 5, substrings: 3)
Parsed: 28.cs -> PQSQED.28 (direct deps: 4, substrings: 1)
Parsed: 28th.cs -> PQSQED.28th (direct deps: 5, substrings: 3)
Parsed: 29.cs -> PQSQED.29 (direct deps: 4, substrings: 1)
Parsed: 29th.cs -> PQSQED.29th (direct deps: 5, substrings: 3)
Parsed: 2d.cs -> PQSQED.2d (direct deps: 11, substrings: 0)
Parsed: 2Dimensional.cs -> PQSQED.2Dimensional (direct deps: 10, substrings: 55)
Parsed: 2Hitter.cs -> PQSQED.2Hitter (direct deps: 7, substrings: 15)
Parsed: 2HydroxybenzoicAcid.cs -> PQSQED.2HydroxybenzoicAcid (direct deps: 12, substrings: 98)
Parsed: 2MethylpropenoicAcid.cs -> PQSQED.2MethylpropenoicAcid (direct deps: 5, substrings: 112)
Parsed: 2nd.cs -> PQSQED.2nd (direct deps: 11, substrings: 1)
Parsed: 2ndLieutenant.cs -> PQSQED.2ndLieutenant (direct deps: 13, substrings: 47)
Parsed: 2_Chronicles.cs -> PQSQED.2_Chronicles (direct deps: 13, substrings: 45)
Parsed: 2_Esdras.cs -> PQSQED.2_Esdras (direct deps: 4, substrings: 15)
Parsed: 2_Kings.cs -> PQSQED.2_Kings (direct deps: 7, substrings: 10)
