=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: ABSRBS\QRS_WRS_145603_classfiles_SANJOYNATH_QRS_WRS_RANKING_PQSQED\

Found project: ABSRBS\QRS_WRS_145603_classfiles_SANJOYNATH_QRS_WRS_RANKING_PQSQED\SANJOYNATH_QRS_WRS_RANKING_PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 1st_Viscount_MontgomeryOf_Alamein.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1st_Viscount_MontgomeryOf_Alamein (direct deps: 15, substrings: 104)
Parsed: 1_Chronicles.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1_Chronicles (direct deps: 13, substrings: 45)
Parsed: 1_Esdras.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1_Esdras (direct deps: 9, substrings: 15)
Parsed: 1_Kings.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1_Kings (direct deps: 7, substrings: 10)
Parsed: 1_Maccabees.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1_Maccabees (direct deps: 5, substrings: 36)
Parsed: 1_Samuel.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1_Samuel (direct deps: 8, substrings: 15)
Parsed: 2.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2 (direct deps: 7, substrings: 0)
Parsed: 20 or 20.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.20 (direct deps: 10, substrings: 1)
Parsed: 20.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.20 (direct deps: 15, substrings: 1)
Parsed: 200.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.200 (direct deps: 6, substrings: 3)
Parsed: 200th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.200th (direct deps: 7, substrings: 5)
Parsed: 20th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.20th (direct deps: 6, substrings: 3)
Parsed: 21.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.21 (direct deps: 5, substrings: 1)
Parsed: 21st.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.21st (direct deps: 6, substrings: 3)
Parsed: 22.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.22 (direct deps: 4, substrings: 1)
Parsed: 22KaratGold.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.22KaratGold (direct deps: 4, substrings: 20)
Parsed: 22nd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.22nd (direct deps: 5, substrings: 3)
Parsed: 23.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.23 (direct deps: 4, substrings: 1)
Parsed: 23rd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.23rd (direct deps: 5, substrings: 3)
Parsed: 24 or 7.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.24 (direct deps: 6, substrings: 1)
Parsed: 24.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.24 (direct deps: 10, substrings: 1)
Parsed: 24HourInterval.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.24HourInterval (direct deps: 8, substrings: 38)
Parsed: 24KaratGold.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.24KaratGold (direct deps: 2, substrings: 20)
Parsed: 24th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.24th (direct deps: 5, substrings: 3)
Parsed: 25.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.25 (direct deps: 4, substrings: 1)
Parsed: 25th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.25th (direct deps: 5, substrings: 3)
Parsed: 26.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.26 (direct deps: 4, substrings: 1)
Parsed: 26th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.26th (direct deps: 5, substrings: 3)
Parsed: 27.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.27 (direct deps: 4, substrings: 1)
Parsed: 27th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.27th (direct deps: 5, substrings: 3)
Parsed: 28.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.28 (direct deps: 4, substrings: 1)
Parsed: 28th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.28th (direct deps: 5, substrings: 3)
Parsed: 29.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.29 (direct deps: 4, substrings: 1)
Parsed: 29th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.29th (direct deps: 5, substrings: 3)
Parsed: 2d.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2d (direct deps: 11, substrings: 0)
Parsed: 2Dimensional.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2Dimensional (direct deps: 10, substrings: 55)
Parsed: 2Hitter.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2Hitter (direct deps: 7, substrings: 15)
Parsed: 2HydroxybenzoicAcid.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2HydroxybenzoicAcid (direct deps: 12, substrings: 98)
Parsed: 2MethylpropenoicAcid.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2MethylpropenoicAcid (direct deps: 5, substrings: 112)
Parsed: 2nd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2nd (direct deps: 11, substrings: 1)
Parsed: 2ndLieutenant.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2ndLieutenant (direct deps: 13, substrings: 47)
Parsed: 2_Chronicles.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2_Chronicles (direct deps: 13, substrings: 45)
Parsed: 2_Esdras.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2_Esdras (direct deps: 4, substrings: 15)
Parsed: 2_Kings.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2_Kings (direct deps: 7, substrings: 10)
Parsed: 2_Maccabees.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2_Maccabees (direct deps: 5, substrings: 36)
Parsed: 2_Samuel.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.2_Samuel (direct deps: 7, substrings: 15)
Parsed: 3.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3 (direct deps: 4, substrings: 0)
Parsed: 30.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.30 (direct deps: 5, substrings: 1)
Parsed: 300.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.300 (direct deps: 5, substrings: 3)
Parsed: 300th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.300th (direct deps: 7, substrings: 5)
Parsed: 30Minutes.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.30Minutes (direct deps: 4, substrings: 23)
Parsed: 30th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.30th (direct deps: 5, substrings: 3)
Parsed: 31.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.31 (direct deps: 4, substrings: 1)
Parsed: 31st.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.31st (direct deps: 6, substrings: 3)
Parsed: 32.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.32 (direct deps: 4, substrings: 1)
Parsed: 32nd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.32nd (direct deps: 5, substrings: 3)
Parsed: 33.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.33 (direct deps: 4, substrings: 1)
Parsed: 33rd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.33rd (direct deps: 5, substrings: 3)
Parsed: 34.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.34 (direct deps: 4, substrings: 1)
Parsed: 34th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.34th (direct deps: 5, substrings: 3)
Parsed: 35.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.35 (direct deps: 4, substrings: 1)
Parsed: 35th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.35th (direct deps: 5, substrings: 3)
Parsed: 36.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.36 (direct deps: 4, substrings: 1)
Parsed: 365Days.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.365Days (direct deps: 4, substrings: 10)
Parsed: 366Days.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.366Days (direct deps: 9, substrings: 10)
Parsed: 36th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.36th (direct deps: 5, substrings: 3)
Parsed: 37.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.37 (direct deps: 4, substrings: 1)
Parsed: 37th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.37th (direct deps: 5, substrings: 3)
Parsed: 38.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.38 (direct deps: 4, substrings: 1)
Parsed: 38th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.38th (direct deps: 5, substrings: 3)
Parsed: 39.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.39 (direct deps: 4, substrings: 1)
Parsed: 39th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.39th (direct deps: 5, substrings: 3)
Parsed: 3D.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3D (direct deps: 7, substrings: 0)
Parsed: 3Dimensional.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3Dimensional (direct deps: 5, substrings: 55)
Parsed: 3dRadar.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3dRadar (direct deps: 10, substrings: 10)
Parsed: 3Hitter.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3Hitter (direct deps: 7, substrings: 15)
Parsed: 3Membered.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3Membered (direct deps: 5, substrings: 28)
Parsed: 3rd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3rd (direct deps: 9, substrings: 1)
Parsed: 3rd_October_Organization.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3rd_October_Organization (direct deps: 18, substrings: 91)
Parsed: 3TC.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3TC (direct deps: 12, substrings: 1)
Parsed: 3_D.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.3_D (direct deps: 7, substrings: 0)
Parsed: 4.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.4 (direct deps: 5, substrings: 0)
Parsed: 40.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.40 (direct deps: 5, substrings: 1)
Parsed: 400.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.400 (direct deps: 5, substrings: 3)
Parsed: 400th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.400th (direct deps: 7, substrings: 5)
Parsed: 401K.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.401K (direct deps: 23, substrings: 3)
Parsed: 401KPlan.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.401KPlan (direct deps: 23, substrings: 14)
Parsed: 40th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.40th (direct deps: 6, substrings: 3)
Parsed: 41.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.41 (direct deps: 4, substrings: 1)
Parsed: 41st.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.41st (direct deps: 5, substrings: 3)
Parsed: 42.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.42 (direct deps: 4, substrings: 1)
Parsed: 42nd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.42nd (direct deps: 5, substrings: 3)
Parsed: 43.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.43 (direct deps: 4, substrings: 1)
Parsed: 43rd.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.43rd (direct deps: 5, substrings: 3)
