Class,Depth,Rank,DirectCount,DirectDependencies
PQSQED.FootTon,0,1,0,
PQSQED.Foraminifera,0,1,0,
PQSQED.Formicariidae,0,1,0,
PQSQED.Formicidae,0,1,0,
PQSQED.Fragaria,0,1,0,
PQSQED.Fratercula,0,1,0,
PQSQED.Freshener,0,1,0,
PQSQED.Fringillidae,0,1,0,
PQSQED.Fulica,0,1,0,
PQSQED.Fulmarus,0,1,0,
PQSQED.Furnariidae,0,1,0,
PQSQED.Galbulidae,0,1,0,
PQSQED.Gallinago,0,1,0,
PQSQED.Gallinula,0,1,0,
PQSQED.Gasteropoda,0,1,0,
PQSQED.Gasterosteidae,0,1,0,
PQSQED.Gastropoda,0,1,0,
PQSQED.Gavialidae,0,1,0,
PQSQED.Gekkonidae,0,1,0,
PQSQED.Genetta,0,1,0,
PQSQED.Genus_Abrocoma,0,1,0,
PQSQED.Genus_Acanthocybium,0,1,0,
PQSQED.Genus_Acinonyx,0,1,0,
PQSQED.Genus_Acridotheres,0,1,0,
PQSQED.Genus_Aedes,0,1,0,
PQSQED.Genus_Agelaius,0,1,0,
PQSQED.Genus_Agkistrodon,0,1,0,
PQSQED.Genus_Alnus,0,1,0,
PQSQED.Genus_Anastomus,0,1,0,
PQSQED.Genus_Ancistrodon,0,1,0,
PQSQED.Genus_Anthoceros,0,1,0,
PQSQED.Genus_Anthus,0,1,0,
PQSQED.Genus_Antidorcas,0,1,0,
PQSQED.Genus_Antilope,0,1,0,
PQSQED.Genus_Aotus,0,1,0,
PQSQED.Genus_Ara,0,1,0,
PQSQED.Genus_Arctictis,0,1,0,
PQSQED.Genus_Arenaria,0,1,0,
PQSQED.Genus_Argynnis,0,1,0,
PQSQED.Genus_Aristolochia,0,1,0,
PQSQED.Genus_Aspidophoroides,0,1,0,
PQSQED.Genus_Avena,0,1,0,
PQSQED.Genus_Aythya,0,1,0,
PQSQED.Genus_Bassariscus,0,1,0,
PQSQED.Genus_Beta,0,1,0,
PQSQED.Genus_Blarina,0,1,0,
PQSQED.Genus_Bombina,0,1,0,
PQSQED.Genus_Bombus,0,1,0,
PQSQED.Genus_Botaurus,0,1,0,
PQSQED.Genus_Bothrops,0,1,0,
PQSQED.Genus_Brassica,0,1,0,
PQSQED.Genus_Bucephala,0,1,0,
PQSQED.Genus_Bulnesia,0,1,0,
PQSQED.Genus_Bungarus,0,1,0,
PQSQED.Genus_Cacajao,0,1,0,
PQSQED.Genus_Caiman,0,1,0,
PQSQED.Genus_Callicebus,0,1,0,
PQSQED.Genus_Capella,0,1,0,
PQSQED.Genus_Capra,0,1,0,
PQSQED.Genus_Capricornis,0,1,0,
PQSQED.Genus_Carcharodon,0,1,0,
PQSQED.Genus_Castanea,0,1,0,
PQSQED.Genus_Catharacta,0,1,0,
PQSQED.Genus_Ceratonia,0,1,0,
PQSQED.Genus_Cercocebus,0,1,0,
PQSQED.Genus_Chalcostigma,0,1,0,
PQSQED.Genus_Chelydra,0,1,0,
PQSQED.Genus_Chilomycterus,0,1,0,
PQSQED.Genus_Chlorura,0,1,0,
PQSQED.Genus_Citrus,0,1,0,
PQSQED.Genus_Cladrastis,0,1,0,
PQSQED.Genus_Cnemidophorus,0,1,0,
PQSQED.Genus_Cochlearius,0,1,0,
PQSQED.Genus_Coluber,0,1,0,
PQSQED.Genus_Condylura,0,1,0,
PQSQED.Genus_Contopus,0,1,0,
PQSQED.Genus_Crex,0,1,0,
PQSQED.Genus_Crotaphytus,0,1,0,
PQSQED.Genus_Cryptocercus,0,1,0,
PQSQED.Genus_Cucumis,0,1,0,
PQSQED.Genus_Cuniculus,0,1,0,
PQSQED.Genus_Cursorius,0,1,0,
PQSQED.Genus_Cystophora,0,1,0,
PQSQED.Genus_Dendraspis,0,1,0,
PQSQED.Genus_Dendroaspis,0,1,0,
PQSQED.Genus_Denisonia,0,1,0,
PQSQED.Genus_Dianthus,0,1,0,
PQSQED.Genus_Dioscorea,0,1,0,
PQSQED.Genus_Dolichonyx,0,1,0,
PQSQED.Genus_Dolichotis,0,1,0,
PQSQED.Genus_Dumetella,0,1,0,
PQSQED.Genus_Echinococcus,0,1,0,
PQSQED.Genus_Eliomys,0,1,0,
PQSQED.Genus_Empetrum,0,1,0,
PQSQED.Genus_Enterobius,0,1,0,
PQSQED.Genus_Ephippiorhynchus,0,1,0,
PQSQED.Genus_Eretmochelys,0,1,0,
PQSQED.Genus_Estrilda,0,1,0,
PQSQED.Genus_Eunectes,0,1,0,
PQSQED.Genus_Fagus,0,1,0,
PQSQED.Genus_Fragaria,0,1,0,
PQSQED.Genus_Fratercula,0,1,0,
PQSQED.Genus_Fulica,0,1,0,
PQSQED.Genus_Fulmarus,0,1,0,
PQSQED.Genus_Gallinago,0,1,0,
PQSQED.Genus_Gallinula,0,1,0,
PQSQED.Genus_Genetta,0,1,0,
PQSQED.Genus_Geococcyx,0,1,0,
PQSQED.Genus_Geothlypis,0,1,0,
PQSQED.Genus_Gladiolus,0,1,0,
PQSQED.Genus_Gorilla,0,1,0,
PQSQED.Genus_Gracula,0,1,0,
PQSQED.Genus_Hackelia,0,1,0,
PQSQED.Genus_Haematopus,0,1,0,
PQSQED.Genus_Haemopis,0,1,0,
PQSQED.Genus_Hemigrammus,0,1,0,
PQSQED.Genus_Herpestes,0,1,0,
PQSQED.Genus_Heteroscelus,0,1,0,
PQSQED.Genus_Hippocampus,0,1,0,
PQSQED.Genus_Hippoglossus,0,1,0,
PQSQED.Genus_Hydra,0,1,0,
PQSQED.Genus_Hydromantes,0,1,0,
PQSQED.Genus_Hylactophryne,0,1,0,
PQSQED.Genus_Hylobates,0,1,0,
PQSQED.Genus_Hyperoodon,0,1,0,
